country,ellen_id,be_id,year,sample_id,day,month
Belgium,121000003,BEVL_VMM_757000,1999,121000003_4.9.1999,4,9
Belgium,121000003,BEVL_VMM_757000,2008,121000003_10.9.2008,10,9
Belgium,121000004,BEVL_VMM_756000,1993,121000004_6.7.1993,6,7
Belgium,121000004,BEVL_VMM_756000,1995,121000004_9.6.1995,9,6
Belgium,121000005,BEVL_VMM_531110,2002,121000005_4.9.2002,4,9
Belgium,121000005,BEVL_VMM_531110,2010,121000005_7.9.2010,7,9
Belgium,121000007,BEVL_VMM_495300,1997,121000007_9.11.1997,9,11
Belgium,121000007,BEVL_VMM_495300,2002,121000007_8.9.2002,8,9
Belgium,121000007,BEVL_VMM_495300,2013,121000007_6.10.2013,6,10
Belgium,121000010,BEVL_VMM_84000,1990,121000010_10.9.1990,10,9
Belgium,121000010,BEVL_VMM_84000,1992,121000010_10.8.1992,10,8
Belgium,121000010,BEVL_VMM_84000,2001,121000010_11.8.2001,11,8
Belgium,121000010,BEVL_VMM_84000,2007,121000010_10.9.2007,10,9
Belgium,121000011,BEVL_VMM_86000,1989,121000011_11.10.1989,11,10
Belgium,121000011,BEVL_VMM_86000,2001,121000011_9.11.2001,9,11
Belgium,121000011,BEVL_VMM_86000,2003,121000011_8.12.2003,8,12
Belgium,121000011,BEVL_VMM_86000,2005,121000011_8.12.2005,8,12
Belgium,121000013,BEVL_VMM_76800,2005,121000013_8.9.2005,8,9
Belgium,121000015,BEVL_VMM_81000,1989,121000015_11.6.1989,11,6
Belgium,121000015,BEVL_VMM_81000,1990,121000015_9.6.1990,9,6
Belgium,121000015,BEVL_VMM_81000,2007,121000015_9.7.2007,9,7
Belgium,121000015,BEVL_VMM_81000,2019,121000015_5.7.2019,5,7
Belgium,121000016,BEVL_VMM_82000,1989,121000016_11.6.1989,11,6
Belgium,121000016,BEVL_VMM_82000,1990,121000016_9.6.1990,9,6
Belgium,121000016,BEVL_VMM_82000,1997,121000016_7.8.1997,7,8
Belgium,121000016,BEVL_VMM_82000,2001,121000016_11.8.2001,11,8
Belgium,121000016,BEVL_VMM_82000,2011,121000016_6.7.2011,6,7
Belgium,121000016,BEVL_VMM_82000,2019,121000016_5.7.2019,5,7
Belgium,121000017,BEVL_VMM_74000,1997,121000017_9.8.1997,9,8
Belgium,121000017,BEVL_VMM_74000,2007,121000017_10.8.2007,10,8
Belgium,121000019,BEVL_VMM_281000,1994,121000019_5.9.1994,5,9
Belgium,121000019,BEVL_VMM_281000,2004,121000019_8.9.2004,8,9
Belgium,121000019,BEVL_VMM_281000,2011,121000019_6.10.2011,6,10
Belgium,121000021,BEVL_VMM_299000,1994,121000021_8.10.1994,8,10
Belgium,121000021,BEVL_VMM_299000,1998,121000021_11.9.1998,11,9
Belgium,121000028,BEVL_VMM_305000,1998,121000028_11.9.1998,11,9
Belgium,121000028,BEVL_VMM_305000,2002,121000028_9.10.2002,9,10
Belgium,121000029,BEVL_VMM_305500,2002,121000029_9.10.2002,9,10
Belgium,121000034,BEVL_VMM_93800,1997,121000034_10.7.1997,10,7
Belgium,121000034,BEVL_VMM_93800,2001,121000034_8.7.2001,8,7
Belgium,121000034,BEVL_VMM_93800,2018,121000034_5.9.2018,5,9
Belgium,121000040,BEVL_VMM_719600,2001,121000040_7.5.2001,7,5
Belgium,121000040,BEVL_VMM_719600,2002,121000040_4.5.2002,4,5
Belgium,121000040,BEVL_VMM_719600,2010,121000040_7.6.2010,7,6
Belgium,121000042,BEVL_VMM_44000,1992,121000042_10.8.1992,10,8
Belgium,121000042,BEVL_VMM_44000,2007,121000042_10.9.2007,10,9
Belgium,121000044,BEVL_VMM_45500,1989,121000044_5.9.1989,5,9
Belgium,121000045,BEVL_VMM_45600,1991,121000045_6.10.1991,6,10
Belgium,121000045,BEVL_VMM_45600,1993,121000045_9.8.1993,9,8
Belgium,121000047,BEVL_VMM_70000,1989,121000047_11.7.1989,11,7
Belgium,121000047,BEVL_VMM_70000,1997,121000047_7.8.1997,7,8
Belgium,121000047,BEVL_VMM_70000,2003,121000047_7.8.2003,7,8
Belgium,121000049,BEVL_VMM_182200,1996,121000049_7.5.1996,7,5
Belgium,121000049,BEVL_VMM_182200,1998,121000049_5.7.1998,5,7
Belgium,121000049,BEVL_VMM_182200,2015,121000049_10.6.2015,10,6
Belgium,121000053,BEVL_VMM_277000,1992,121000053_4.10.1992,4,10
Belgium,121000053,BEVL_VMM_277000,1993,121000053_6.10.1993,6,10
Belgium,121000053,BEVL_VMM_277000,1998,121000053_11.9.1998,11,9
Belgium,121000053,BEVL_VMM_277000,2002,121000053_9.10.2002,9,10
Belgium,121000059,BEVL_VMM_120000,2004,121000059_5.6.2004,5,6
Belgium,121000073,BEVL_VMM_336000,1989,121000073_11.8.1989,11,8
Belgium,121000073,BEVL_VMM_336000,2001,121000073_11.9.2001,11,9
Belgium,121000073,BEVL_VMM_336000,2004,121000073_12.8.2004,12,8
Belgium,121000073,BEVL_VMM_336000,2013,121000073_10.9.2013,10,9
Belgium,121000075,BEVL_VMM_309000,1989,121000075_10.9.1989,10,9
Belgium,121000075,BEVL_VMM_309000,1998,121000075_8.10.1998,8,10
Belgium,121000075,BEVL_VMM_309000,2004,121000075_9.10.2004,9,10
Belgium,121000075,BEVL_VMM_309000,2006,121000075_10.9.2006,10,9
Belgium,121000079,BEVL_VMM_790000,1997,121000079_10.7.1997,10,7
Belgium,121000079,BEVL_VMM_790000,2007,121000079_10.9.2007,10,9
Belgium,121000079,BEVL_VMM_790000,2019,121000079_10.8.2019,10,8
Belgium,121000083,BEVL_VMM_13900,2004,121000083_8.9.2004,8,9
Belgium,121000087,BEVL_VMM_58000,1989,121000087_5.8.1989,5,8
Belgium,121000094,BEVL_VMM_720570,2002,121000094_4.3.2002,4,3
Belgium,121000094,BEVL_VMM_720570,2006,121000094_10.3.2006,10,3
Belgium,121000094,BEVL_VMM_720570,2011,121000094_5.3.2011,5,3
Belgium,121000096,BEVL_VMM_532190,2007,121000096_9.6.2007,9,6
Belgium,121000096,BEVL_VMM_532190,2008,121000096_5.6.2008,5,6
Belgium,121000103,BEVL_VMM_389000,1994,121000103_7.5.1994,7,5
Belgium,121000103,BEVL_VMM_389000,1996,121000103_7.5.1996,7,5
Belgium,121000103,BEVL_VMM_389000,2003,121000103_8.5.2003,8,5
Belgium,121000103,BEVL_VMM_389000,2007,121000103_9.6.2007,9,6
Belgium,121000108,BEVL_VMM_262700,1993,121000108_11.9.1993,11,9
Belgium,121000108,BEVL_VMM_262700,2001,121000108_11.9.2001,11,9
Belgium,121000108,BEVL_VMM_262700,2004,121000108_12.8.2004,12,8
Belgium,121000141,BEVL_VMM_289000,2004,121000141_9.8.2004,9,8
Belgium,121000141,BEVL_VMM_289000,2007,121000141_10.9.2007,10,9
Belgium,121000142,BEVL_VMM_255000,1996,121000142_10.9.1996,10,9
Belgium,121000142,BEVL_VMM_255000,2014,121000142_9.10.2014,9,10
Belgium,121000142,BEVL_VMM_255000,2019,121000142_10.9.2019,10,9
Belgium,121000147,BEVL_VMM_315800,1999,121000147_9.8.1999,9,8
Belgium,121000147,BEVL_VMM_315800,2014,121000147_9.10.2014,9,10
Belgium,121000151,BEVL_VMM_152500,1998,121000151_6.7.1998,6,7
Belgium,121000151,BEVL_VMM_152500,2012,121000151_10.8.2012,10,8
Belgium,121000154,BEVL_VMM_135000,1992,121000154_11.4.1992,11,4
Belgium,121000154,BEVL_VMM_135000,1995,121000154_10.6.1995,10,6
Belgium,121000158,BEVL_VMM_114000,1995,121000158_9.4.1995,9,4
Belgium,121000158,BEVL_VMM_114000,1996,121000158_3.4.1996,3,4
Belgium,121000158,BEVL_VMM_114000,1999,121000158_8.5.1999,8,5
Belgium,121000158,BEVL_VMM_114000,2019,121000158_7.4.2019,7,4
Belgium,121000160,BEVL_VMM_112000,1998,121000160_8.6.1998,8,6
Belgium,121000160,BEVL_VMM_112000,1999,121000160_8.6.1999,8,6
Belgium,121000160,BEVL_VMM_112000,2004,121000160_7.6.2004,7,6
Belgium,121000161,BEVL_VMM_80000,2001,121000161_11.8.2001,11,8
Belgium,121000161,BEVL_VMM_80000,2007,121000161_9.7.2007,9,7
Belgium,121000161,BEVL_VMM_80000,2011,121000161_6.7.2011,6,7
Belgium,121000162,BEVL_VMM_67000,1989,121000162_11.7.1989,11,7
Belgium,121000167,BEVL_VMM_800000,2000,121000167_5.4.2000,5,4
Belgium,121000168,BEVL_VMM_849000,1991,121000168_5.7.1991,5,7
Belgium,121000168,BEVL_VMM_849000,1996,121000168_6.7.1996,6,7
Belgium,121000168,BEVL_VMM_849000,2001,121000168_6.7.2001,6,7
Belgium,121000174,BEVL_VMM_541000,2003,121000174_8.7.2003,8,7
Belgium,121000178,BEVL_VMM_749200,1993,121000178_6.8.1993,6,8
Belgium,121000178,BEVL_VMM_749200,1997,121000178_10.8.1997,10,8
Belgium,121000178,BEVL_VMM_749200,2002,121000178_10.8.2002,10,8
Belgium,121000183,BEVL_VMM_511000,2018,121000183_7.6.2018,7,6
Belgium,121000189,BEVL_VMM_253000,2014,121000189_9.10.2014,9,10
Belgium,121000189,BEVL_VMM_253000,2019,121000189_10.9.2019,10,9
Belgium,121000190,BEVL_VMM_270400,1996,121000190_6.7.1996,6,7
Belgium,121000190,BEVL_VMM_270400,2007,121000190_7.6.2007,7,6
Belgium,121000192,BEVL_VMM_15000,1999,121000192_5.10.1999,5,10
Belgium,121000192,BEVL_VMM_15000,2004,121000192_8.9.2004,8,9
Belgium,121000193,BEVL_VMM_12000,1989,121000193_5.8.1989,5,8
Belgium,121000193,BEVL_VMM_12000,2006,121000193_9.7.2006,9,7
Belgium,121000198,BEVL_VMM_179000,2012,121000198_6.8.2012,6,8
Belgium,121000202,BEVL_VMM_917000,2006,121000202_9.5.2006,9,5
Belgium,121000206,BEVL_VMM_910900,1992,121000206_7.6.1992,7,6
Belgium,121000206,BEVL_VMM_910900,2005,121000206_10.6.2005,10,6
Belgium,121000206,BEVL_VMM_910900,2006,121000206_9.5.2006,9,5
Belgium,121000206,BEVL_VMM_910900,2008,121000206_11.4.2008,11,4
Belgium,121000213,BEVL_VMM_257200,1996,121000213_10.9.1996,10,9
Belgium,121000213,BEVL_VMM_257200,2013,121000213_10.9.2013,10,9
Belgium,121000213,BEVL_VMM_257200,2019,121000213_10.9.2019,10,9
Belgium,121000214,BEVL_VMM_258000,1989,121000214_11.8.1989,11,8
Belgium,121000214,BEVL_VMM_258000,1998,121000214_11.9.1998,11,9
Belgium,121000215,BEVL_VMM_258500,2013,121000215_10.9.2013,10,9
Belgium,121000216,BEVL_VMM_260000,1989,121000216_11.8.1989,11,8
Belgium,121000217,BEVL_VMM_262000,1989,121000217_11.8.1989,11,8
Belgium,121000218,BEVL_VMM_273000,1998,121000218_8.10.1998,8,10
Belgium,121000218,BEVL_VMM_273000,2004,121000218_9.10.2004,9,10
Belgium,121000219,BEVL_VMM_274000,1994,121000219_8.9.1994,8,9
Belgium,121000219,BEVL_VMM_274000,1998,121000219_8.10.1998,8,10
Belgium,121000219,BEVL_VMM_274000,2004,121000219_9.10.2004,9,10
Belgium,121000223,BEVL_VMM_329000,1989,121000223_11.8.1989,11,8
Belgium,121000225,BEVL_VMM_125000,1996,121000225_9.6.1996,9,6
Belgium,121000225,BEVL_VMM_125000,1999,121000225_5.7.1999,5,7
Belgium,121000225,BEVL_VMM_125000,2008,121000225_5.7.2008,5,7
Belgium,121000228,BEVL_VMM_128000,1993,121000228_7.8.1993,7,8
Belgium,121000230,BEVL_VMM_72000,2007,121000230_10.8.2007,10,8
Belgium,121000231,BEVL_VMM_72500,2003,121000231_8.7.2003,8,7
Belgium,121000231,BEVL_VMM_72500,2007,121000231_10.8.2007,10,8
Belgium,121000237,BEVL_VMM_716000,2001,121000237_7.5.2001,7,5
Belgium,121000237,BEVL_VMM_716000,2002,121000237_4.5.2002,4,5
Belgium,121000237,BEVL_VMM_716000,2003,121000237_5.7.2003,5,7
Belgium,121000241,BEVL_VMM_100000,1992,121000241_10.9.1992,10,9
Belgium,121000241,BEVL_VMM_100000,1999,121000241_9.10.1999,9,10
Belgium,121000241,BEVL_VMM_100000,2003,121000241_7.10.2003,7,10
Belgium,121000241,BEVL_VMM_100000,2010,121000241_5.10.2010,5,10
Belgium,121000248,BEVL_VMM_840000,1996,121000248_6.4.1996,6,4
Belgium,121000251,BEVL_VMM_842800,1991,121000251_12.6.1991,12,6
Belgium,121000252,BEVL_VMM_843000,1990,121000252_11.5.1990,11,5
Belgium,121000252,BEVL_VMM_843000,2001,121000252_6.7.2001,6,7
Belgium,121000252,BEVL_VMM_843000,2009,121000252_5.7.2009,5,7
Belgium,121000255,BEVL_VMM_851700,1996,121000255_6.5.1996,6,5
Belgium,121000255,BEVL_VMM_851700,1998,121000255_5.6.1998,5,6
